NO	HARI	TANGGAL	SETLIST	UNIT SONG	POSITION	PARTNER	LINEUP	NOTE
1	Minggu	16/12/2018	Theater no Megami	-
2	Minggu	16/12/2018	Theater no Megami	-
3	Minggu	30/12/2018	Theater no Megami	-
4	Rabu	09/01/2019	Theater no Megami	-
5	Jumat	25/01/2019	Theater no Megami	-
6	Sabtu	26/01/2019	Theater no Megami	-
7	Minggu	27/01/2019	Theater no Megami	-
8	Sabtu	23/02/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
9	Selasa	26/02/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
10	Kamis	28/02/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
11	Sabtu	02/03/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
12	Rabu	06/03/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
13	Sabtu	09/03/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
14	Minggu	10/03/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
15	Selasa	12/03/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
16	Selasa	19/03/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
17	Rabu	20/03/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
18	Selasa	19/03/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
19	Sabtu	23/03/2019	Pajama Drive	Junjou Shugi
20	Minggu	24/03/2019	Pajama Drive	Temodemo no Namida
21	Rabu	27/03/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
22	Jumat	29/03/2019	Pajama Drive	Junjou Shugi
23	Minggu	31/03/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
24	Rabu	03/04/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
25	Jumat	05/04/2019	Pajama Drive	Junjou Shugi
26	Sabtu	06/04/2019	Pajama Drive	Junjou Shugi
27	Sabtu	06/04/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
28	Minggu	07/04/2019	Pajama Drive	Junjou Shugi
29	Minggu	07/04/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
30	Jumat	12/04/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
31	Sabtu	13/04/2019	Pajama Drive	Temodemo no Namida
32	Minggu	14/04/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
33	Selasa	16/04/2019	Pajama Drive	Junjou Shugi
34	Sabtu	20/04/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
35	Rabu	24/04/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
36	Minggu	28/04/2019	Pajama Drive	Junjou Shugi
37	Rabu	01/05/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
38	Jumat	03/05/2019	Pajama Drive	Temodemo no Namida
39	Kamis	13/06/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
40	Jumat	14/06/2019	Pajama Drive	Junjou Shugi
41	Kamis	20/06/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
42	Sabtu	22/06/2019	Pajama Drive	Junjou Shugi
43	Rabu	26/06/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
44	Kamis	27/06/2019	Pajama Drive	Temodemo no Namida
45	Sabtu	29/06/2019	Pajama Drive	Temodemo no Namida
46	Rabu	03/07/2019	Pajama Drive	Temodemo no Namida
47	Jumat	05/07/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
48	Sabtu	06/07/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
49	Minggu	07/07/2019	Pajama Drive	Junjou Shugi
50	Selasa	09/07/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
51	Rabu	10/07/2019	Pajama Drive	Temodemo no Namida
52	Jumat	12/07/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
53	Sabtu	13/07/2019	Pajama Drive	Temodemo no Namida
54	Minggu	14/07/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
55	Selasa	16/07/2019	Pajama Drive	Temodemo no Namida
56	Jumat	19/07/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
57	Selasa	23/07/2019	Pajama Drive	Kagami no Naka no Jeanne d'Arc
58	Rabu	24/07/2019	Te wo Tsunaginagara	Wimbledon e Tsureiteitte
59	Jumat	26/07/2019	Pajama Drive	Kagami no Naka no Jeanne d'Arc
60	Selasa	30/07/2019	Pajama Drive	Kagami no Naka no Jeanne d'Arc
61	Sabtu	03/08/2019	Pajama Drive	Kagami no Naka no Jeanne d'Arc
62	Rabu	07/08/2019	Saka Agari	Ai no Iro
63	Sabtu	10/08/2019	Saka Agari	Ai no Iro
64	Kamis	15/08/2019	Saka Agari	Ai no Iro
65	Minggu	18/08/2019	Saka Agari	Ai no Iro
66	Jumat	23/08/2019	Saka Agari	Ai no Iro
67	Minggu	25/08/2019	Saka Agari	Ai no Iro
68	Rabu	28/08/2019	Saka Agari	Ai no Iro
69	Sabtu	31/08/2019	Saka Agari	Ai no Iro
70	Selasa	03/09/2019	Saka Agari	Ai no Iro
71	Sabtu	07/09/2019	Saka Agari	Ai no Iro
72	Jumat	13/09/2019	Saka Agari	Ai no Iro
73	Sabtu	14/09/2019	Saka Agari	Ai no Iro
74	Selasa	17/09/2019	Saka Agari	Ai no Iro
75	Minggu	22/09/2019	Saka Agari	Ai no Iro
76	Kamis	26/09/2019	Saka Agari	Ai no Iro
77	Sabtu	28/09/2019	Saka Agari	Ai no Iro
78	Kamis	03/10/2019	Saka Agari	Ai no Iro
79	Minggu	06/10/2019	Saka Agari	Ai no Iro
80	Rabu	09/10/2019	Saka Agari	Ai no Iro
81	Minggu	13/10/2019	Saka Agari	Ai no Iro
82	Rabu	16/10/2019	Saka Agari	Ai no Iro
83	Selasa	22/10/2019	Saka Agari	Ai no Iro
